lineup,rating,players
Grimes/Looney/Reaves/Sandro/Ziaire,4.37,"Grimes,Looney,Reaves,Sandro,Ziaire"
Grimes/Looney/Reaves/Sexton/Vanderbilt,6.05,"Grimes,Looney,Reaves,Sexton,Vanderbilt"
Grimes/Looney/Reaves/Thiero/Vanderbilt,6.37,"Grimes,Looney,Reaves,Thiero,Vanderbilt"
Grimes/Looney/Reaves/Vanderbilt/Ziaire,2.71,"Grimes,Looney,Reaves,Vanderbilt,Ziaire"
Grimes/Luka/Reaves/Sandro/Sexton,10.88,"Grimes,Luka,Reaves,Sandro,Sexton"
Grimes/Luka/Reaves/Sandro/Thiero,5.82,"Grimes,Luka,Reaves,Sandro,Thiero"
Grimes/Luka/Reaves/Sandro/Vanderbilt,10.48,"Grimes,Luka,Reaves,Sandro,Vanderbilt"
Grimes/Luka/Reaves/Thiero/Vanderbilt,3.16,"Grimes,Luka,Reaves,Thiero,Vanderbilt"
Kessler/LaRavia/Luka/Reaves/Sandro,11.36,"Kessler,LaRavia,Luka,Reaves,Sandro"
Kessler/LaRavia/Luka/Reaves/Sexton,7.79,"Kessler,LaRavia,Luka,Reaves,Sexton"
Kessler/LaRavia/Luka/Reaves/Thiero,5.28,"Kessler,LaRavia,Luka,Reaves,Thiero"
Kessler/LaRavia/Luka/Reaves/Vanderbilt,9.41,"Kessler,LaRavia,Luka,Reaves,Vanderbilt"
Kessler/LaRavia/Luka/Sandro/Sexton,4.88,"Kessler,LaRavia,Luka,Sandro,Sexton"
Kessler/LaRavia/Luka/Sexton/Thiero,1.99,"Kessler,LaRavia,Luka,Sexton,Thiero"
Kessler/LaRavia/Luka/Sexton/Vanderbilt,6.13,"Kessler,LaRavia,Luka,Sexton,Vanderbilt"
Kessler/LaRavia/Reaves/Sandro/Sexton,3.77,"Kessler,LaRavia,Reaves,Sandro,Sexton"
Kessler/LaRavia/Reaves/Sandro/Thiero,7.23,"Kessler,LaRavia,Reaves,Sandro,Thiero"
Kessler/LaRavia/Reaves/Sandro/Vanderbilt,2.32,"Kessler,LaRavia,Reaves,Sandro,Vanderbilt"
Kessler/LaRavia/Reaves/Sexton/Thiero,2.15,"Kessler,LaRavia,Reaves,Sexton,Thiero"
Kessler/LaRavia/Reaves/Sexton/Vanderbilt,10.55,"Kessler,LaRavia,Reaves,Sexton,Vanderbilt"
Kessler/Looney/Luka/Reaves/Vanderbilt,14.39,"Kessler,Looney,Luka,Reaves,Vanderbilt"
Kessler/Luka/Reaves/Sandro/Sexton,7.76,"Kessler,Luka,Reaves,Sandro,Sexton"
Kessler/Luka/Reaves/Sandro/Thiero,11.56,"Kessler,Luka,Reaves,Sandro,Thiero"
Kessler/Luka/Reaves/Sandro/Vanderbilt,14.01,"Kessler,Luka,Reaves,Sandro,Vanderbilt"
Kessler/Luka/Reaves/Sandro/Ziaire,5.4,"Kessler,Luka,Reaves,Sandro,Ziaire"
Kessler/Luka/Reaves/Sexton/Thiero,9.0,"Kessler,Luka,Reaves,Sexton,Thiero"
Kessler/Luka/Reaves/Sexton/Vanderbilt,6.98,"Kessler,Luka,Reaves,Sexton,Vanderbilt"
Kessler/Luka/Reaves/Thiero/Vanderbilt,7.13,"Kessler,Luka,Reaves,Thiero,Vanderbilt"
Kessler/Luka/Reaves/Vanderbilt/Ziaire,7.23,"Kessler,Luka,Reaves,Vanderbilt,Ziaire"
Kessler/Luka/Sandro/Sexton/Thiero,4.96,"Kessler,Luka,Sandro,Sexton,Thiero"
Kessler/Luka/Sandro/Sexton/Vanderbilt,7.69,"Kessler,Luka,Sandro,Sexton,Vanderbilt"
Kessler/Reaves/Sandro/Sexton/Thiero,4.14,"Kessler,Reaves,Sandro,Sexton,Thiero"
Kessler/Reaves/Sandro/Sexton/Vanderbilt,5.31,"Kessler,Reaves,Sandro,Sexton,Vanderbilt"
Kessler/Reaves/Sexton/Thiero/Vanderbilt,3.04,"Kessler,Reaves,Sexton,Thiero,Vanderbilt"
LaRavia/Looney/Luka/Reaves/Sandro,9.83,"LaRavia,Looney,Luka,Reaves,Sandro"
LaRavia/Looney/Luka/Sexton/Vanderbilt,2.45,"LaRavia,Looney,Luka,Sexton,Vanderbilt"
LaRavia/Looney/Reaves/Sandro/Sexton,11.19,"LaRavia,Looney,Reaves,Sandro,Sexton"
LaRavia/Looney/Reaves/Sandro/Thiero,6.62,"LaRavia,Looney,Reaves,Sandro,Thiero"
LaRavia/Looney/Reaves/Sandro/Vanderbilt,3.6,"LaRavia,Looney,Reaves,Sandro,Vanderbilt"
LaRavia/Looney/Reaves/Sexton/Vanderbilt,2.51,"LaRavia,Looney,Reaves,Sexton,Vanderbilt"
LaRavia/Looney/Reaves/Sexton/Ziaire,-0.11,"LaRavia,Looney,Reaves,Sexton,Ziaire"
LaRavia/Luka/Reaves/Sandro/Sexton,7.83,"LaRavia,Luka,Reaves,Sandro,Sexton"
LaRavia/Luka/Reaves/Sandro/Thiero,7.29,"LaRavia,Luka,Reaves,Sandro,Thiero"
LaRavia/Luka/Reaves/Sandro/Vanderbilt,10.13,"LaRavia,Luka,Reaves,Sandro,Vanderbilt"
Looney/Luka/Reaves/Sandro/Sexton,10.83,"Looney,Luka,Reaves,Sandro,Sexton"
Looney/Luka/Reaves/Sandro/Thiero,16.14,"Looney,Luka,Reaves,Sandro,Thiero"
Looney/Luka/Reaves/Sandro/Vanderbilt,10.2,"Looney,Luka,Reaves,Sandro,Vanderbilt"
Looney/Luka/Reaves/Sandro/Ziaire,9.54,"Looney,Luka,Reaves,Sandro,Ziaire"
Looney/Reaves/Sandro/Sexton/Vanderbilt,6.88,"Looney,Reaves,Sandro,Sexton,Vanderbilt"
Looney/Reaves/Sexton/Vanderbilt/Ziaire,1.5,"Looney,Reaves,Sexton,Vanderbilt,Ziaire"
Luka/Reaves/Sandro/Sexton/Vanderbilt,9.23,"Luka,Reaves,Sandro,Sexton,Vanderbilt"
Luka/Reaves/Sandro/Vanderbilt/Ziaire,7.59,"Luka,Reaves,Sandro,Vanderbilt,Ziaire"
